City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Rikitea,PF,79.3,clear sky,-23.1203,-134.9692,People ThankYou
2,Kupang,ID,82.36,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
4,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Saint-Leu,RE,77.86,few clouds,-21.15,55.2833,La Caz Oceane
15,Pochutla,MX,81.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
18,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
22,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
24,Puerto Ayora,EC,78.57,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Atuona,PF,79.11,overcast clouds,-9.8,-139.0333,Villa Enata
28,Kapaa,US,79.2,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
52,Butaritari,KI,81.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
58,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
59,Arraial Do Cabo,BR,76.82,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
61,Lahaina,US,84.2,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
62,Hervey Bay,AU,80.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
63,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
67,Hithadhoo,MV,81.39,clear sky,-0.6,73.0833,Scoop Guest House
68,Tomatlan,MX,75.9,clear sky,19.9333,-105.25,El Salvial
69,Santa Marta,CO,84.25,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
70,Tual,ID,79.21,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
71,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
73,Bathsheba,BB,77.83,overcast clouds,13.2167,-59.5167,Atlantis Hotel
77,Marawi,PH,76.57,broken clouds,7.9986,124.2928,Derogongan Residence
83,Riachao Das Neves,BR,75.42,overcast clouds,-11.7461,-44.91,Casa Costa
84,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
85,Albury,AU,76.32,scattered clouds,-36.0833,146.9167,Albury Georgian Motel & Suites
91,Koumac,NC,84.33,broken clouds,-20.5667,164.2833,Le Monitel
97,Hobyo,SO,79.16,broken clouds,5.3505,48.5268,Iftin hotel hobyo
100,Sao Desiderio,BR,77.95,overcast clouds,-12.3633,-44.9733,Pousada do Luizão
103,Acapulco,MX,82.22,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
104,Soure,BR,78.3,very heavy rain,-0.7167,-48.5233,Casarão da Amazônia
106,Vanimo,PG,84.94,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
108,Wajir,KE,80.06,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
109,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
111,Caravelas,BR,75.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
113,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
118,Bubaque,GW,76.37,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
125,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
126,Bengkulu,ID,76.6,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
136,Nanakuli,US,79.61,overcast clouds,21.3906,-158.1547,Camp Pālehua
138,Sainte-Marie,RE,78.96,overcast clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
140,Sur,OM,78.93,clear sky,22.5667,59.5289,Sur Plaza Hotel
141,Dawei,MM,81.3,overcast clouds,14.0833,98.2,Hotel Dawei
145,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
152,Ilhabela,BR,75.58,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
158,Kavieng,PG,84.38,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
159,Carutapera,BR,76.68,moderate rain,-1.195,-46.02,Lidera
162,Cartagena,CO,80.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
165,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
166,Lakatoro,VU,83.88,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
167,Kavaratti,IN,82.65,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
173,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
174,Emerald,AU,78.35,clear sky,-23.5333,148.1667,The Irish Village
204,Namatanai,PG,83.8,light rain,-3.6667,152.4333,Seagulls Inn Namatani
207,San Policarpo,PH,81.48,scattered clouds,12.1791,125.5072,Agapita M. Nicart
208,Matara,LK,76.64,clear sky,5.9485,80.5353,Amaloh Boutique Resort
209,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
214,Phan Thiet,VN,82.92,overcast clouds,10.9333,108.1,Hotel Saigon-PT
219,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
231,Dingle,PH,84.49,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
232,Pangai,TO,84.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
233,Tautira,PF,81.77,light rain,-17.7333,-149.15,Pension Oaoa
236,Bousse,BF,83.14,few clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
244,Nicoya,CR,81.93,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
247,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
249,Manokwari,ID,82.99,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
251,Qui Nhon,VN,80.19,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
252,Calabozo,VE,87.85,overcast clouds,8.9242,-67.4293,Hotel Giardini
258,Careiro Da Varzea,BR,79.41,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
259,Amuntai,ID,80.53,moderate rain,-2.4177,115.2494,Hotel Balqis
262,Cabo San Lucas,MX,85.3,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
269,Piacabucu,BR,78.93,broken clouds,-10.4056,-36.4344,Piaçabuçu News
274,Camocim,BR,76.96,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
275,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
282,Mont-Dore,NC,85.98,overcast clouds,-22.2833,166.5833,GIte
