City_ID,City,Country,Lat,Lng,Max Temp,%Humidity,%Cloudiness,Wind Speed,Description
0,Thompson,CA,55.7435,-97.8558,14.16,26,0,3.44,clear sky
1,Rikitea,PF,-23.1203,-134.9692,79.3,63,5,7.54,clear sky
2,Kupang,ID,-10.1667,123.5833,82.36,77,23,1.21,few clouds
3,Busselton,AU,-33.65,115.3333,60.8,65,0,15.61,clear sky
4,Hilo,US,19.7297,-155.09,80.33,61,20,9.22,few clouds
5,Port Alfred,ZA,-33.5906,26.891,64.18,93,100,1.99,overcast clouds
6,Hobart,AU,-42.8794,147.3294,64.26,80,100,5.75,light rain
7,Zhezkazgan,KZ,47.8043,67.7144,20.75,95,100,2.15,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,61.81,64,100,4.34,overcast clouds
9,Aksarka,RU,66.5606,67.7975,16.79,94,100,13.09,light snow
10,Severo-Kurilsk,RU,50.6789,156.125,32.77,89,96,26.19,light snow
11,Victoria,HK,22.2855,114.1577,64.94,93,100,4.0,light rain
12,Margate,GB,51.3813,1.3862,46.31,91,0,1.99,clear sky
13,Saint-Leu,RE,-21.15,55.2833,77.86,83,12,4.88,few clouds
14,Broome,US,42.2506,-75.833,23.7,76,75,11.5,broken clouds
15,Pochutla,MX,15.7432,-96.4661,81.82,72,100,3.85,overcast clouds
16,Issia,CI,6.4922,-6.5856,74.3,94,21,2.42,few clouds
17,Sitka,US,57.0531,-135.33,44.49,70,20,9.22,few clouds
18,Carnarvon,AU,-24.8667,113.6333,77.07,73,0,6.91,clear sky
19,Albany,US,42.6001,-73.9662,28.06,66,100,3.0,overcast clouds
20,Lasa,IT,46.6166,10.7002,41.88,68,1,1.23,clear sky
21,Rio Grande,BR,-32.035,-52.0986,59.95,68,0,0.92,clear sky
22,Vaini,TO,-21.2,-175.2,82.56,83,75,6.91,broken clouds
23,Yellowknife,CA,62.456,-114.3525,18.41,58,40,4.61,scattered clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,78.57,83,100,8.34,overcast clouds
25,Hammerfest,NO,70.6634,23.6821,12.65,62,28,2.3,scattered clouds
26,Saskylakh,RU,71.9167,114.0833,-1.32,95,100,5.44,overcast clouds
27,Atuona,PF,-9.8,-139.0333,79.11,78,91,15.37,overcast clouds
28,Kapaa,US,22.0752,-159.319,79.2,66,0,9.22,clear sky
29,Cidreira,BR,-30.1811,-50.2056,69.15,79,0,9.01,clear sky
30,Castro,BR,-24.7911,-50.0119,62.78,80,4,1.01,clear sky
31,Sao Filipe,CV,14.8961,-24.4956,70.41,73,100,5.91,overcast clouds
32,Lebu,CL,-37.6167,-73.65,53.53,86,2,9.42,clear sky
33,Mataura,NZ,-46.1927,168.8643,71.1,49,3,1.95,clear sky
34,Chokurdakh,RU,70.6333,147.9167,-2.33,93,21,5.23,few clouds
35,Kodiak,US,57.79,-152.4072,33.31,100,100,24.16,snow
36,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,10.36,scattered clouds
37,Marana,US,32.4367,-111.2254,91.99,6,0,9.22,clear sky
38,Bolshoye Selo,RU,57.7177,38.9334,17.26,91,99,8.81,overcast clouds
39,Sorland,NO,67.667,12.6934,32.94,92,100,25.32,light snow
40,Barrow,US,71.2906,-156.7887,3.22,72,40,19.57,scattered clouds
41,Morant Bay,JM,17.8815,-76.4093,82.02,83,17,12.46,few clouds
42,Norman Wells,CA,65.282,-126.8329,6.84,66,75,5.75,light snow
43,Aklavik,CA,68.2191,-135.0107,5.54,84,100,1.99,overcast clouds
44,Seoul,KR,37.5683,126.9778,45.97,38,0,1.14,clear sky
45,Chuy,UY,-33.6971,-53.4616,62.4,65,0,3.44,clear sky
46,Bluff,NZ,-46.6,168.3333,59.29,77,0,2.82,clear sky
47,Ushuaia,AR,-54.8,-68.3,46.06,66,20,8.05,few clouds
48,Mazamari,PE,-11.3258,-74.5308,69.6,99,80,1.28,broken clouds
49,Tuatapere,NZ,-46.1333,167.6833,66.76,63,12,5.44,few clouds
50,Guerrero Negro,MX,27.9769,-114.0611,65.7,64,100,11.05,overcast clouds
51,Cherskiy,RU,68.75,161.3,6.73,85,97,8.08,overcast clouds
52,Butaritari,KI,3.0707,172.7902,81.23,65,76,6.49,broken clouds
53,Rancho Palos Verdes,US,33.7445,-118.387,67.41,74,20,8.05,few clouds
54,Hasaki,JP,35.7333,140.8333,57.6,69,91,15.35,overcast clouds
55,High Level,CA,58.5169,-117.136,33.91,60,0,6.91,clear sky
56,Katsuura,JP,35.1333,140.3,55.56,81,100,11.25,overcast clouds
