City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
9,Yellowknife,62.456,-114.3525,17.88,63,0,10.36,CA,3/26/22 9:27
69,Aklavik,68.2191,-135.0107,15.39,100,15,7.87,CA,3/26/22 9:29
121,Thompson,55.7435,-97.8558,14.64,70,0,8.05,CA,3/26/22 9:30
104,Tuktoyaktuk,69.4541,-133.0374,13.74,92,6,10.87,CA,3/26/22 9:30
114,Pevek,69.7008,170.3133,11.9,98,52,3.83,RU,3/26/22 9:30
196,Deputatskiy,69.3,139.9,11.87,99,21,7.76,RU,3/26/22 9:34
89,Cherskiy,68.75,161.3,9.76,100,100,4.12,RU,3/26/22 9:29
197,Tiksi,71.6872,128.8694,9.44,100,59,0.83,RU,3/26/22 9:34
229,Saskylakh,71.9167,114.0833,8.91,100,95,3.31,RU,3/26/22 9:34
378,Talaya,61.3833,152.75,8.59,100,73,2.53,RU,3/26/22 9:41
111,Clyde River,70.4692,-68.5914,7.37,77,100,3.44,CA,3/26/22 9:30
164,La Ronge,55.1001,-105.2842,7.35,59,0,1.14,CA,3/26/22 9:32
215,Ust-Nera,64.5667,143.2,6.57,100,94,3.09,RU,3/26/22 9:34
140,Bilibino,68.0546,166.4372,6.12,100,98,3.15,RU,3/26/22 9:32
478,Omsukchan,62.5333,155.8,5.17,98,98,4.5,RU,3/26/22 9:45
54,Norman Wells,65.282,-126.8329,3.96,77,40,5.75,CA,3/26/22 9:28
254,Inuvik,68.3499,-133.7218,3.14,68,0,11.5,CA,3/26/22 9:36
79,Leningradskiy,69.3833,178.4167,2.72,92,95,4.03,RU,3/26/22 9:29
119,Beringovskiy,63.05,179.3167,2.2,100,54,4.52,RU,3/26/22 9:31
112,Barrow,71.2906,-156.7887,2.18,78,40,19.57,US,3/26/22 9:30
92,Upernavik,72.7868,-56.1549,1.23,95,100,5.84,GL,3/26/22 9:29
334,Lavrentiya,65.5833,-171,1.21,100,61,4.43,RU,3/26/22 9:39
1,Hay River,60.8156,-115.7999,0.42,55,75,6.91,CA,3/26/22 9:27
180,Chokurdakh,70.6333,147.9167,2.32,95,100,12.77,RU,3/26/22 9:33
135,Qaanaaq,77.484,-69.3632,2.77,85,100,5.95,GL,3/26/22 9:31
158,Longyearbyen,78.2186,15.6401,3.04,66,20,4.61,SJ,3/26/22 9:32
418,Okhotsk,59.3833,143.3,5.32,94,15,1.63,RU,3/26/22 9:43
149,Yar-Sale,66.8333,70.8333,5.86,87,23,1.5,RU,3/26/22 9:32
430,Anadyr,64.75,177.4833,7.3,85,100,6.71,RU,3/26/22 9:43
386,Borogontsy,62.6683,131.1683,7.34,95,82,1.32,RU,3/26/22 9:41
178,Zhigansk,66.7697,123.3711,7.66,97,88,7.11,RU,3/26/22 9:33
175,Provideniya,64.3833,-173.3,7.7,93,16,4.27,RU,3/26/22 9:33
253,Sioux Lookout,50.1001,-91.917,8.67,78,100,17.27,CA,3/26/22 9:36
299,Churapcha,62.0025,132.4325,8.94,91,99,2.66,RU,3/26/22 9:38
88,Khatanga,71.9667,102.5,9.25,90,22,9.17,RU,3/26/22 9:29
163,Novyy Urengoy,66.0833,76.6333,9.48,89,100,20.69,RU,3/26/22 9:32
553,Kenora,49.8167,-94.4337,9.57,66,20,12.66,CA,3/26/22 9:47
312,Nome,64.5011,-165.4064,11.16,92,0,4.61,US,3/26/22 9:38
491,Tigil,57.8,158.6667,12.63,92,100,6.93,RU,3/26/22 9:45
6,Paamiut,61.994,-49.6678,13.64,67,55,7.29,GL,3/26/22 9:27
21,Sisimiut,66.9395,-53.6735,14.09,89,100,9.04,GL,3/26/22 9:27
552,Chumikan,54.7183,135.315,14.56,97,46,4.12,RU,3/26/22 9:47
31,Dikson,73.5069,80.5464,15.35,79,100,12.95,RU,3/26/22 9:27
278,Qaqortoq,60.7167,-46.0333,16.5,69,41,7.2,GL,3/26/22 9:37
12,Tasiilaq,65.6145,-37.6368,17.76,98,92,3.47,GL,3/26/22 9:27
93,Aykhal,66,111.5,18.09,95,88,4.5,RU,3/26/22 9:30
319,Pangnirtung,66.1451,-65.7125,18.73,94,100,7.36,CA,3/26/22 9:38
402,Berlevag,70.8578,29.0864,19.2,57,100,24.2,NO,3/26/22 9:41
236,Kayerkan,69.3497,87.7602,19.53,79,100,12.39,RU,3/26/22 9:36
558,Genhe,50.7833,121.5167,19.94,93,99,2.66,CN,3/26/22 9:48
570,Nuuk,64.1835,-51.7216,20.01,86,100,4.61,GL,3/26/22 9:48
425,Kiruna,67.8557,20.2251,20.32,63,75,19.57,SE,3/26/22 9:43
